ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Calling Out Specific,Is About The Holocaust,IHRA Section
1277275915299573763,1,True,True,False,Not an anti-sematic response. wondering why there is not equality for all instead of just black people...,knish758,1,True,4,True,True,False,13
1298313036743290881,2,True,True,False,No comments.,Ibutterfly34,1,True,5,True,True,False,13
1283965119240851463,3,True,True,False,"This is tricky because the French town is obviously not anti-sematic due to the fact that they sheltered 500 Jewish children from Nazis; however, why would they choose to elect a mayor that is part of a party that is accused of antisemitism.",KattTrotter,3,False,3,False,True,False,13
1268568606880587778,4,True,True,False,No comments.,sayamenswift,1,True,4,True,True,False,13
1269729597383421954,5,True,True,False,This tweet is not anti-sematic. it instead shows how the Jewish community came together to honor George Floyd because they do not stand for hatred,BetigulCeylan,1,True,4,False,False,False,13
1282814830978760705,6,True,True,False,"This tweet is not deemed as anti-semitic because Donal Trump JR is calling out the NBA for allowing ""beware of jews"" to be put on customed ordered jerseys...Sentiment rating is Neutral because he is using it for his own political agenda rather than standing up for the Jewish community...",mayhaps_so,2,True,3,True,False,False,13
1293619134077566977,7,True,True,False,It is hard to understand what he means by this tweet... since he is talking about israeli-jews... how does he feel about them?,Sudharshan32,3,False,3,False,False,False,13
1278413185196965889,8,True,True,False,This person is calling out people who support Louis Farrakhan who has also been compared to Hitler.,Howard_Lovy,1,True,4,True,True,False,13
1272112826887200771,9,True,True,False,this tweet could not be found.,MdPuput,3,False,3,False,False,False,13
1286668048288624642,10,False,True,False,this tweet could not be found.,EddieHenryJames,3,False,3,False,False,False,13
1291115457970405386,11,True,True,False,this tweet could not be found,C_plus_pianist,3,False,3,False,False,False,13
1282283832905994240,12,True,True,False,anti-semetic,Tuckerfan3,4,False,1,False,False,False,0
1297626770154242051,13,False,True,False,not available anymore,ChuckMaultsby,3,False,3,False,False,False,13
1300022096064520193,14,True,True,False,this tweet is just educating about Askhenazis Jews,BareMocking,1,True,3,False,False,False,13
1297584818729844741,15,True,True,False,The reply to this tweet is calling out this guy for being antisemitic...,anarchocopium,1,True,4,True,True,False,13
1275352186885562370,16,True,True,False,calling out antisemitism of this school,daringdrongo,1,True,3,True,False,False,13
1263582563437690888,17,True,True,False,this tweet relates to holocaust because hitler quote was used and henry ford was a nazi supporter,BlackCheesebur1,5,False,1,False,False,True,0
1292505179363909634,18,True,True,False,I believe this tweet is not antisemitic and is calling out the way Jews were treated by British people which can be deemed as antisemitic,littledumb1diot,2,True,3,True,True,False,13
1286059956836343809,19,True,True,True,This tweet just shows the prejudice and word choices president trump uses towards people that do not agree with him,MargueriteGyatt,1,True,3,True,True,False,13
1296858111521648640,20,True,True,False,this tweet is claiming that jews got their power by dismantling big cooperations and communism,func_wall,5,False,1,False,False,False,2
1271107064673169408,21,True,True,False,Ted Cruz calls out a congresswoman for not accepting the house resolution for antisemitism and he also mentions the 6 million Jews that were killed during the holocaust,n00b_F26,1,True,4,True,True,True,13
