ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Calling Out Specific,Is About The Holocaust,IHRA Section
1277275915299573763,1,True,True,False,No comments.,knish758,3,False,3,False,False,False,13
1298313036743290881,2,True,True,False,No comments.,Ibutterfly34,3,False,3,False,False,False,13
1283965119240851463,3,True,True,False,No comments.,KattTrotter,1,False,5,False,False,False,13
1268568606880587778,4,True,True,False,No comments.,sayamenswift,1,False,3,False,False,False,13
1269729597383421954,5,True,True,False,No comments.,BetigulCeylan,1,False,3,False,False,False,13
1282814830978760705,6,True,True,False,No comments.,mayhaps_so,4,False,3,True,False,False,13
1293619134077566977,7,True,True,False,No comments.,Sudharshan32,3,False,3,False,False,False,13
1278413185196965889,8,True,True,False,No comments.,Howard_Lovy,3,False,3,False,False,False,13
1272112826887200771,9,False,True,False,No comments.,MdPuput,3,False,3,False,False,False,13
1286668048288624642,10,False,True,False,No comments.,EddieHenryJames,3,False,3,False,False,False,13
1291115457970405386,11,True,True,False,No comments.,C_plus_pianist,1,False,3,False,False,False,13
1282283832905994240,12,True,True,False,No comments.,Tuckerfan3,4,False,3,False,False,False,13
1297626770154242051,13,False,True,False,No comments.,ChuckMaultsby,3,False,3,False,False,False,13
1300022096064520193,14,True,True,False,No comments.,BareMocking,1,False,3,False,False,False,13
1297584818729844741,15,True,True,False,No comments.,anarchocopium,1,False,3,False,True,False,13
1275352186885562370,16,True,True,False,No comments.,daringdrongo,3,False,3,False,False,False,13
1263582563437690888,17,True,True,False,No comments.,BlackCheesebur1,3,False,3,False,False,False,13
1292505179363909634,18,True,True,False,No comments.,littledumb1diot,3,False,4,False,False,False,13
1286059956836343809,19,True,True,False,"Calling out the biggest POS himself, Donald Trump",MargueriteGyatt,1,False,3,False,False,False,13
1296858111521648640,20,True,True,False,No comments.,func_wall,3,False,3,False,False,False,13
1271107064673169408,21,True,True,False,No comments.,n00b_F26,3,False,3,False,False,False,13
1279045977064833025,22,True,True,False,No comments.,Brittany3l,4,False,3,False,False,False,13
1270063227842461698,23,False,True,False,No comments.,jlocklar,3,False,3,False,False,False,13
1298092209581899777,24,True,True,False,No comments.,RMCpost,3,False,3,False,False,False,13
1286321412974706688,25,True,True,False,Calling out Jews,Skeletonbits,4,False,3,False,False,False,13
1278584820839448577,26,True,True,False,No comments.,biy2c,2,False,3,False,True,True,13
1276908252274581506,27,True,True,False,No comments.,earoy12,3,False,3,False,False,False,13
1270848577355616256,28,False,True,False,No comments.,CyberK101,3,False,3,False,False,False,13
1277557030140641281,29,True,True,False,No comments.,melaniekmelvin,3,False,3,False,False,False,13
1284502280817897473,30,True,True,False,No comments.,LIGHTHOUSER5,4,False,3,False,False,False,13
1286786961542455298,31,True,True,False,No comments.,joseph_gellman,3,False,3,False,False,False,13
1268851181767454721,32,False,True,False,No comments.,rat_59,3,False,3,False,False,False,13
1272921265586737152,33,True,True,False,No comments.,RachGary01,3,False,3,False,True,False,13
1272897280853630979,34,True,True,False,No comments.,jtf18james,3,False,3,False,True,False,13
1281181027478597634,35,True,True,False,No comments.,Ch_Rahul29,4,False,3,False,True,False,13
1291416524264222721,36,True,True,False,No comments.,AbsonJill,3,False,3,False,False,False,13
1287492121667211264,37,False,True,False,No comments.,katkin72,3,False,3,False,False,False,13
1266972453588340741,38,False,True,False,No comments.,waynepayn3,3,False,3,False,False,False,13
1256408042444390405,39,True,True,False,No comments.,coopertrooper_,2,False,3,False,True,False,13
1280329149689630722,40,False,True,False,No comments.,4NoARuin,3,False,3,False,False,False,13
