ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Is About the Holocaust,IHRA Section
1226735179558985729,1,True,True,False,No comments.,GaGaforIsrael,1,False,3,True,False,13
1247631294386896897,2,True,True,False,No comments.,bjgunts,1,True,3,False,False,13
1218171490421628928,3,True,True,False,implicit: Jews are a priviliged victim group,ShabirNusrat,2,False,3,False,False,13
1253324722319667201,4,True,True,False,No comments.,thisismamen,1,False,3,False,True,13
1232351517472100353,5,True,True,False,No comments.,Xzamilloh,1,False,2,False,False,13
1243274849499459584,6,True,True,False,No comments.,tcudaman,1,False,4,False,False,13
1219109445852069890,7,True,True,False,No comments.,KitsuneCosplays,1,False,3,False,False,13
1232424140981841923,8,True,True,False,No comments.,ckelly12352,1,False,3,True,False,13
1224212772562591745,9,True,True,False,No comments.,AlliAbra,1,False,4,True,False,13
1251827598759428097,10,True,True,False,No comments.,ChattyMattE,1,False,3,False,True,13
1221889162523168771,11,True,True,False,No comments.,Farimah,1,False,3,False,True,13
1214542373725884416,12,False,True,False,No comments.,LikeFineWine63,3,False,3,False,False,13
1255472644285235201,13,True,True,False,No comments.,nojoe21,1,False,3,True,False,13
1228093395018682368,14,False,True,False,No comments.,JetstreamSnake,3,False,3,False,False,13
1234931693468909569,15,True,True,False,No comments.,guypbenson,1,False,3,False,False,13
1242723503213645824,16,True,True,False,No comments.,Of_the_People7,1,False,3,False,True,13
1226946957815549953,17,True,True,False,No comments.,stevedonsky,1,False,3,False,True,13
1215471650499633152,18,True,True,False,No comments.,johnrcoats,1,False,3,False,True,13
1235727545460391936,19,True,True,False,No comments.,NYJewishWeek,1,False,3,False,False,13
1244510316542771200,20,True,True,False,No comments.,IsaacMassias,1,False,5,False,False,13
1236795802808287233,21,True,True,False,No comments.,Saukel,1,False,3,False,False,13
1226174145710477313,22,True,True,False,No comments.,Pikeitberk,1,False,3,True,False,13
1227502258641702912,23,True,True,False,No comments.,CADCI,1,False,3,False,True,13
1217219021004734465,24,True,True,False,No comments.,Lindat2020T,1,False,3,False,True,13
1222296463822049281,25,True,True,False,No comments.,moonbandito,1,False,3,False,False,13
1239389908076126209,26,True,True,False,No comments.,JustSayXtian,1,False,4,False,False,13
1255551178840182786,27,True,True,False,No comments.,jjraegirl,1,False,3,True,False,13
1235538619344932864,28,True,True,False,3.1.7 Denying the Jewish people their right to self-determination,bano_sanjeeda,4,False,2,False,True,7
1236040185554653188,29,True,True,False,No comments.,thatqueerbird,1,False,3,True,False,13
1223341722572378114,30,True,True,False,the user has posted many antisemitic tweets. This tweet can be read as a threat in response to @lander,Sean41003921,2,False,3,False,False,13
