ID;Sample ID;Still Exists;In English;Sarcasm;Additional Comments;User;Antisemitism Rating;Disagree With;Sentiment Rating;Calling Out;Is About the Holocaust;IHRA Section
1,10479E+18;1;TRUE;TRUE;FALSE;No comments.;itsspitzmesser1;3;FALSE;3;TRUE;FALSE;13
1,16402E+18;2;TRUE;TRUE;FALSE;No comments.;grammycam;3;FALSE;3;TRUE;FALSE;13
1,17756E+18;3;TRUE;TRUE;FALSE;No comments.;brimoboy;2;FALSE;5;FALSE;FALSE;13
1,11237E+18;4;TRUE;TRUE;FALSE;No comments.;CollectivzdPaki;4;FALSE;3;FALSE;FALSE;7
1,16526E+18;5;TRUE;TRUE;FALSE;No comments.;Sal_Robins;3;FALSE;3;FALSE;TRUE;13
1,13265E+18;6;TRUE;TRUE;FALSE;No comments.;irishzionist;2;FALSE;3;FALSE;FALSE;13
1,1528E+18;7;TRUE;TRUE;FALSE;No comments.;ACEVAMPS;2;FALSE;3;FALSE;FALSE;13
1,11744E+18;8;TRUE;TRUE;FALSE;No comments.;JasonJkresge101;3;FALSE;3;TRUE;FALSE;13
1,20325E+18;9;TRUE;TRUE;FALSE;No comments.;MuslimMatters;2;FALSE;3;FALSE;TRUE;13
1,18028E+18;10;FALSE;TRUE;FALSE;No comments.;mrepaige;3;FALSE;3;FALSE;FALSE;13
1,10367E+18;11;TRUE;TRUE;FALSE;No comments.;Ian56789;5;FALSE;3;FALSE;FALSE;11
1,18042E+18;12;TRUE;TRUE;FALSE;No comments.;Marissa_C_Ryan;2;FALSE;3;FALSE;FALSE;13
1,13236E+18;13;TRUE;TRUE;FALSE;No comments.;KLE1967;2;FALSE;4;FALSE;FALSE;13
1,19213E+18;14;TRUE;TRUE;FALSE;No comments.;IsaaCarlitos;2;FALSE;3;FALSE;FALSE;13
1,08275E+18;15;FALSE;TRUE;FALSE;No comments.;mikachu6000;3;FALSE;3;FALSE;FALSE;13
1,1244E+18;16;TRUE;TRUE;FALSE;No comments.;Rick_Ingersoll;2;FALSE;3;FALSE;FALSE;13
1,17706E+18;17;TRUE;TRUE;FALSE;No comments.;EstherOfReilly;2;FALSE;3;FALSE;FALSE;13
1,12379E+18;18;TRUE;TRUE;FALSE;No comments.;AdriennePalinko;2;FALSE;3;FALSE;FALSE;13
1,16392E+18;19;TRUE;TRUE;FALSE;No comments.;Robirdie23;2;FALSE;3;TRUE;FALSE;13
1,08608E+18;20;TRUE;TRUE;FALSE;No comments.;pratapsodhia;2;FALSE;3;FALSE;TRUE;13
1,11637E+18;21;TRUE;TRUE;FALSE;No comments.;TheWeilerSide;2;TRUE;1;FALSE;FALSE;13
1,12871E+18;22;TRUE;TRUE;FALSE;No comments.;amdorgan;2;FALSE;3;FALSE;FALSE;13
1,16414E+18;23;TRUE;TRUE;FALSE;No comments.;Decker62S;3;FALSE;3;TRUE;FALSE;13
1,15339E+18;24;TRUE;TRUE;FALSE;No comments.;yanaranx;2;FALSE;3;FALSE;FALSE;13
1,14506E+18;25;FALSE;TRUE;FALSE;No comments.;PaulConroy;3;FALSE;3;FALSE;FALSE;13
1,09505E+18;26;TRUE;TRUE;FALSE;No comments.;gabhiyae;2;FALSE;3;FALSE;FALSE;13
1,10336E+18;27;TRUE;TRUE;FALSE;No comments.;DailyRound;2;FALSE;3;FALSE;FALSE;13
