ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Calling Out Specific,Is About The Holocaust,IHRA Section
1226735179558985729,1,True,True,False,No comments.,GaGaforIsrael,1,False,3,True,False,False,13
1247631294386896897,2,True,True,True,Tweet seems to be making fun of writing error,bjgunts,2,False,3,False,False,False,13
1218171490421628928,3,True,True,False,No comments.,ShabirNusrat,2,False,3,True,False,False,13
1253324722319667201,4,True,True,False,No comments.,thisismamen,3,False,3,False,False,True,13
1232351517472100353,5,True,True,False,It iis comparing a Jewish politician and his views to those of Nazi's,Xzamilloh,4,False,2,False,False,True,2
1243274849499459584,6,True,True,False,No comments.,tcudaman,3,False,3,True,True,False,13
1219109445852069890,7,True,True,False,Tweet is trying to say that Trump favors white christians over other races,KitsuneCosplays,3,False,3,True,True,False,13
1232424140981841923,8,False,True,False,Account suspended,ckelly12352,3,False,3,False,False,False,13
1224212772562591745,9,True,True,False,No comments.,AlliAbra,4,False,3,False,False,False,7
1251827598759428097,10,False,True,False,Page doesn't exist,ChattyMattE,3,False,3,False,False,False,13
1221889162523168771,11,True,True,False,Comparing Trump's policy to Nazi's and the Holocaust,Farimah,3,False,3,False,True,True,13
1214542373725884416,12,True,True,False,No comments.,LikeFineWine63,2,False,3,False,False,False,13
1255472644285235201,13,True,True,False,Tweet is calling out the Mayor for not allowing Jews to pray,nojoe21,3,False,3,True,True,False,13
1228093395018682368,14,False,True,False,I am unable to view tweet,JetstreamSnake,3,False,3,False,False,False,13
1234931693468909569,15,True,True,False,Tweet is calling out an antisemtic tweet,guypbenson,3,False,3,True,True,False,13
1242723503213645824,16,True,True,False,No comments.,Of_the_People7,1,False,3,False,False,True,13
1226946957815549953,17,True,True,False,Tweet is calling out people that are calling Bernie Sanders a Nazi,stevedonsky,3,False,3,False,True,True,13
1215471650499633152,18,True,True,False,I have no clue what this tweet is,johnrcoats,3,False,3,False,False,False,13
1235727545460391936,19,True,True,False,A Jewish Rabbi asked people to stop doing this to stop coronavirus,NYJewishWeek,1,False,5,False,False,False,13
1244510316542771200,20,True,True,False,No comments.,IsaacMassias,3,False,3,False,False,False,13
1236795802808287233,21,True,True,False,No comments.,Saukel,2,False,3,False,False,False,13
1226174145710477313,22,False,True,False,No comments.,Pikeitberk,3,False,3,False,False,False,13
1227502258641702912,23,True,True,False,No comments.,CADCI,3,False,3,False,True,False,13
1217219021004734465,24,True,True,False,No comments.,Lindat2020T,2,False,3,False,False,True,13
1222296463822049281,25,True,True,False,No comments.,moonbandito,4,False,3,False,False,False,11
1239389908076126209,26,True,True,True,No comments.,JustSayXtian,2,False,3,False,False,False,13
1255551178840182786,27,False,True,False,account suspended,jjraegirl,3,False,3,False,False,False,13
1235538619344932864,28,True,True,False,No comments.,bano_sanjeeda,3,False,3,False,False,False,13
1236040185554653188,29,True,True,False,No comments.,thatqueerbird,3,False,3,True,True,False,13
1223341722572378114,30,False,True,False,account suspended,Sean41003921,3,False,3,False,False,False,13
