ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Calling Out Specific,Is About The Holocaust,IHRA Section
1226735179558985729,1,True,True,False,No comments.,GaGaforIsrael,1,True,3,True,True,False,13
1247631294386896897,2,True,True,True,No comment.,bjgunts,1,True,4,False,False,False,13
1218171490421628928,3,True,True,False,"No comThis is tricky because the French town is obviously not anti-semitic due to the fact that they sheltered 500 Jewish children from Nazis; however, why would they choose to elect a mayor that is part of a party that is accused of antisemitism.",ShabirNusrat,1,True,3,True,True,True,13
1253324722319667201,4,True,True,False,No comments.,thisismamen,1,True,5,True,True,True,13
1232351517472100353,5,True,True,False,No comments.,Xzamilloh,4,True,2,True,True,False,13
1243274849499459584,6,True,True,False,No comments.,tcudaman,4,False,2,False,False,False,3
1219109445852069890,7,True,True,False,She is calling out President Trump because he did not show diversity in his picture about protecting praying in school... this could show that he is only protecting Christian's rights to pray in school and not muslims and jews,KitsuneCosplays,1,True,5,True,True,False,13
1232424140981841923,8,False,False,False,this tweet no longer exists,ckelly12352,3,False,3,False,False,False,13
1224212772562591745,9,True,True,False,No comments.,AlliAbra,2,False,4,False,False,False,9
1251827598759428097,10,False,False,False,tweet dont exist,ChattyMattE,3,False,3,False,False,False,13
1221889162523168771,11,True,True,False,Points out trumps wrongful tactics.,Farimah,1,False,4,False,False,False,0
1214542373725884416,12,True,True,False,Jewish people are allowed to have different beliefs from their fellow jewish neighbors.,LikeFineWine63,3,False,3,False,False,False,8
1255472644285235201,13,True,True,True,John is sarcastically making fun of antisemite.,nojoe21,1,False,4,True,True,False,0
1228093395018682368,14,False,False,False,no tweet,JetstreamSnake,3,False,3,False,False,False,13
1234931693468909569,15,True,True,False,No comments.,guypbenson,1,True,3,True,True,False,13
1242723503213645824,16,True,True,False,No comments.,Of_the_People7,1,False,5,True,True,True,0
1226946957815549953,17,True,True,False,No comments.,stevedonsky,2,False,3,False,False,False,0
1215471650499633152,18,True,True,False,No comments.,johnrcoats,2,True,3,False,False,False,13
1235727545460391936,19,True,True,False,No comments.,NYJewishWeek,4,False,3,False,False,False,0
1244510316542771200,20,True,True,False,No comments.,IsaacMassias,3,True,3,False,False,False,13
1236795802808287233,21,True,True,False,Big conspiracy.,Saukel,2,True,3,False,False,False,13
1226174145710477313,22,False,False,False,tweet no active.,Pikeitberk,3,False,3,False,False,False,13
1227502258641702912,23,True,True,False,No comments.,CADCI,1,True,3,True,True,True,13
1217219021004734465,24,True,True,False,No comments.,Lindat2020T,1,True,3,True,True,True,13
1222296463822049281,25,True,True,False,What does he mean by rapture?,moonbandito,2,True,3,False,False,False,13
1239389908076126209,26,True,True,True,He is being sarcastic towards jews.,JustSayXtian,4,False,2,False,False,False,0
1255551178840182786,27,False,False,False,Tweet doesn't exist.,jjraegirl,3,False,3,False,False,False,13
1235538619344932864,28,True,True,False,No comments.,bano_sanjeeda,4,False,3,True,True,True,0
1236040185554653188,29,True,True,True,Not sure if he is being sarcastic,thatqueerbird,2,True,3,True,True,False,13
1223341722572378114,30,False,False,False,No tweet,Sean41003921,3,False,3,False,False,False,13
1234790520335085568,31,True,True,False,Information about jewish people being targeted.,Prabhat44142876,1,False,3,True,True,True,0
1232172132966322177,32,True,True,False,Bernie is being antisemitic,luzell29481399,4,False,2,True,True,False,0
1219686343439212544,33,True,True,False,This tweet seems biased about Jews.,WavyAVibes,4,False,2,True,True,True,3
1222224711884648448,34,True,True,False,Joe biden being called out for his arrogance of comparing jews holocaust to immigrants entering a country.,twifan_nana,4,False,4,True,True,True,4
1226465467793072129,35,False,False,False,No tweet.,sktripathi18,3,False,3,False,False,False,13
1255665672853610496,36,True,True,False,This tweet calls out the unfairness of the thought of Jews dating non Jews.,McSporranberg,5,False,4,True,True,False,0
1222222525377236993,37,False,False,False,No tweet,Violet_Flower13,3,False,3,False,False,False,13
1255128414819741696,38,True,True,False,Stephen seems to be sarcastic.,MalcolmFord10,4,False,2,True,True,False,0
1241544288875528192,39,False,False,False,No active tweet.,S_NAMUDURI,3,False,3,False,False,False,13
1251955772797399044,40,True,True,False,This article is sticking up for jews for not being responsible for something they didn't do.,sbg_twt,1,False,4,True,True,False,2
1213275546882232320,41,False,False,False,No active tweet,FaineBlackadder,3,False,3,False,False,False,13
1224225184749621248,42,True,True,True,Politics guy has a point about Jews having a right to have their own ancestral home.,PoliticsBloke,3,False,4,True,True,False,0
1252237872435888129,43,False,False,False,No tweet.,VexIsUgly,3,False,3,False,False,False,13
1217471572635738114,44,True,True,True,He is sarcastically saying Jews know the words of Jesus and Christians want to be arrogant about that.,ADadJoke,1,True,4,False,False,False,13
1235694173510160385,45,False,False,False,No tweet.,Tee_Ess1612,3,False,3,False,False,False,13
1225212200949866496,46,True,True,False,The quote of the tweet was pointing out a time where Jews wanted to change their names because of society.,kfs78,1,True,4,True,True,False,13
1231755580672499712,47,True,True,False,She is pointing out antisemitism.,davidcoppin,5,False,3,True,True,False,0
1255382549762883592,48,True,True,False,Yael was calling out the mayor and gave facts.,nemonullius17,4,False,5,True,True,False,0
1233042517731479553,49,True,True,False,He seems to be blaming Jews for taking advantage of black slavery.,SpruceYelverton,4,False,2,False,False,False,2
1212826893508055041,50,True,True,False,''They were asking for it'' he seems to not care about Jews.,Reasons4Thought,5,False,1,False,False,False,1
1253047548853596161,51,True,True,False,Jews are helping eachother out.,ContentbyDavid,1,True,3,False,False,False,13
1217107152243843072,52,True,True,True,Sarcastically making fun of christans.,J3st_3r,1,True,4,True,True,False,13
1223448600098824193,53,False,False,False,No tweet.,azadessa,3,False,3,False,False,False,13
1213282360956985344,54,True,True,False,Trump is compared to Hitler.,Macha_Ruad,1,True,4,True,True,False,13
1216200617598898177,55,True,True,False,Claims about how Jews took part of killing their own people.,360CNN,4,False,2,True,True,True,5
1234751232696344577,56,False,False,False,No tweet.,p0ppysimp,3,False,3,False,False,False,13
1253350738320920577,57,True,True,False,No comments.,Pak_Mundaa,3,False,3,True,True,False,0
