ID,Sample ID,Still Exists,In English,Sarcasm,Additional Comments,User,Antisemitism Rating,Disagree With,Sentiment Rating,Calling Out,Calling Out Specific,Is About The Holocaust,IHRA Section
1226735179558985729,1,True,True,False,No comments.,GaGaforIsrael,1,False,3,True,False,False,13
1247631294386896897,2,True,True,True,No comments.,bjgunts,1,False,3,False,False,False,13
1218171490421628928,3,True,True,False,No comments.,ShabirNusrat,2,False,3,True,False,False,13
1253324722319667201,4,True,True,False,No comments.,thisismamen,1,False,3,False,False,True,13
1232351517472100353,5,True,True,False,No comments.,Xzamilloh,4,True,2,False,False,False,2
1243274849499459584,6,True,True,True,No comments.,tcudaman,2,False,3,False,False,False,13
1219109445852069890,7,True,True,False,No comments.,KitsuneCosplays,2,False,3,False,True,False,13
1232424140981841923,8,False,True,False,No comments.,ckelly12352,3,False,3,False,False,False,13
1224212772562591745,9,True,True,True,No comments.,AlliAbra,2,False,3,False,True,False,13
1251827598759428097,10,False,True,False,No comments.,ChattyMattE,3,False,3,False,False,False,13
1221889162523168771,11,True,True,False,No comments.,Farimah,1,False,4,False,True,True,13
1214542373725884416,12,True,True,False,No comments.,LikeFineWine63,1,False,3,False,True,False,13
1255472644285235201,13,True,True,True,No comments.,nojoe21,1,False,3,False,True,False,13
1228093395018682368,14,False,True,False,No comments.,JetstreamSnake,3,False,3,False,False,False,13
1234931693468909569,15,True,True,False,No comments.,guypbenson,1,False,4,False,True,False,13
1242723503213645824,16,True,True,False,No comments.,Of_the_People7,1,False,3,False,False,True,13
1226946957815549953,17,True,True,False,No comments.,stevedonsky,1,False,3,True,True,True,13
1215471650499633152,18,True,True,False,No comments.,johnrcoats,1,False,3,False,False,False,13
1235727545460391936,19,True,True,False,No comments.,NYJewishWeek,1,False,3,False,False,False,13
1244510316542771200,20,True,True,False,No comments.,IsaacMassias,4,True,2,False,False,False,2
1236795802808287233,21,True,True,False,No comments.,Saukel,2,False,3,False,False,False,13
1226174145710477313,22,False,True,False,No comments.,Pikeitberk,3,False,3,False,False,False,13
1227502258641702912,23,True,True,False,No comments.,CADCI,1,False,3,False,False,True,13
1217219021004734465,24,True,True,False,No comments.,Lindat2020T,1,False,3,False,False,True,13
1222296463822049281,25,True,True,True,No comments.,moonbandito,4,True,2,False,False,False,11
1239389908076126209,26,True,True,False,No comments.,JustSayXtian,5,True,2,False,False,False,2
1255551178840182786,27,False,True,False,No comments.,jjraegirl,3,False,3,False,False,False,13
1235538619344932864,28,True,True,False,No comments.,bano_sanjeeda,5,True,1,False,False,False,3
1236040185554653188,29,True,True,False,No comments.,thatqueerbird,1,False,5,False,True,False,13
